Address,Rooms,Area,Towards,Floor,Decorate,subway,FiveYear,hasLift,TotalPrice,Price
东和时代-中兴-江晖路1930号,2室2厅2卫,42,南北向,低层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,160万元,38095元/
东和时代-中兴-江晖路1930号,1室1厅1卫,42,南北向,高层（共29层）,精装修,距离1号线江陵路977米,0,电梯房,155万元,36904元/
东和时代-中兴-江晖路1930号,2室2厅1卫,42,东南向,中层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,166万元,39523元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,42,南向,中层（共20层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,170万元,40476元/
兴耀鑫都汇-西兴-滨康路,2室2厅2卫,40,东向,高层（共20层）,精装修,距离1号线西兴514米,满五唯一,电梯房,140.0万元,34995元/
中赢云际-中兴-江晖路1062号,2室2厅1卫,58,南向,中层（共24层）,豪华装修,距离1号线滨和路748米,满五唯一,电梯房,208万元,35862元/
"中国铁建江南...-西兴-金城路,近风情大道",3室2厅2卫,87,南北向,低层（共34层）,简单装修,距离1号线滨康路962米,满五唯一,电梯房,400万元,45662元/
"江滨澜廷-中兴-闻涛路,近江陵路",1室2厅1卫,59,南北向,低层（共12层）,精装修,距离1号线江陵路849米,满五唯一,电梯房,205万元,34745元/
中赢云际-中兴-江晖路1062号,2室1厅2卫,50,南向,中层（共29层）,豪华装修,距离1号线滨和路748米,满五唯一,电梯房,215万元,43000元/
中南白马湖壹...-长河-时代大道,4室2厅2卫,89,南北向,中层（共23层）,精装修,0,满五唯一,电梯房,285万元,32022元/
汉峰峰公馆-中兴-滨盛路1826号,1室2厅2卫,52,北向,高层（共22层）,精装修,距离1号线江陵路1161米,满五唯一,电梯房,150万元,28846元/
环亚航银座-长河-天官路,2室2厅1卫,48,南向,共1层,精装修,0,1,77万元,16041元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,45,南北向,高层（共19层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,180万元,40000元/
超级星期天(...-彩虹城-西浦路1718号,2室2厅2卫,51,南向,高层（共12层）,精装修,距离4号线中医药大学1069米,满五唯一,电梯房,95万元,18627元/
现代印象广场-长河-江南大道3399号,2室1厅1卫,60,南向,中层（共12层）,精装修,0,满五唯一,电梯房,120万元,20000元/
现代印象广场-长河-江南大道3399号,2室1厅1卫,40,南向,中层（共12层）,精装修,0,满五唯一,电梯房,90万元,22500元/
中南白马湖壹...-长河-时代大道,2室1厅1卫,56,南北向,中层（共19层）,简单装修,0,满五唯一,电梯房,152万元,27142元/
长河商厦-长河-长江路428号,2室2厅1卫,51,南向,中层（共8层）,精装修,0,满五唯一,1,98万元,19215元/
中南白马湖壹...-长河-时代大道,4室2厅2卫,89,南北向,中层（共23层）,精装修,0,满五唯一,电梯房,285万元,32022元/
中南白马湖壹...-长河-时代大道,4室2厅2卫,89,南北向,中层（共23层）,精装修,0,满五唯一,电梯房,285万元,32022元/
东和时代-中兴-江晖路1930号,2室2厅2卫,42,南北向,低层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,160万元,38095元/
"恒鼎博邑郡-长河-滨康路,近时代大道",2室2厅2卫,42,南向,高层（共29层）,精装修,0,满五唯一,电梯房,145万元,34523元/
君尚金座-中兴-安业路229号,3室2厅3卫,121,南北向,中层（共27层）,豪华装修,0,满二唯一,1,358万元,29586元/
中南白马湖壹...-长河-时代大道,2室1厅1卫,56,南北向,中层（共19层）,简单装修,0,满五唯一,电梯房,152万元,27142元/
东和时代-中兴-江晖路1930号,2室2厅1卫,42,东南向,中层（共29层）,精装修,距离1号线江陵路977米,满五唯一,电梯房,166万元,39523元/
兴耀鑫都汇-西兴-滨康路,2室2厅1卫,56,南北向,中层（共16层）,精装修,距离1号线西兴514米,满五唯一,电梯房,130万元,23214元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,52,南向,中层（共18层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,236万元,45384元/
铂金名筑-长河-平安路38号,3室2厅1卫,88,南北向,高层（共12层）,简单装修,0,满五唯一,电梯房,388万元,43644元/
中赢云际-中兴-江晖路1062号,2室1厅1卫,50,南北向,中层（共19层）,简单装修,距离1号线滨和路748米,满五唯一,电梯房,189.5万元,37900元/
中赢云际-中兴-江晖路1062号,2室2厅1卫,50,南向,中层（共18层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,210万元,42000元/
中赢云际-中兴-江晖路1062号,2室2厅2卫,42,南北向,中层（共20层）,精装修,距离1号线滨和路748米,满五唯一,电梯房,170万元,40476元/
"中赢康康谷-中兴-春晓路,近滨兴路",2室1厅1卫,45,南向,高层（共12层）,精装修,距离1号线滨和路566米,满五唯一,电梯房,139万元,30888元/
兴耀鑫都汇-西兴-滨康路,2室2厅2卫,45,北向,高层（共22层）,精装修,距离1号线西兴514米,0,电梯房,125万元,27777元/
江南星座-中兴-春晓路529号,2室2厅1卫,61,南向,低层（共12层）,简单装修,距离1号线江陵路729米,满五唯一,电梯房,82万元,13376元/
江南星座-中兴-春晓路529号,2室2厅2卫,74,南向,高层（共25层）,精装修,距离1号线江陵路729米,满五唯一,电梯房,105万元,14189元/
