Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l
1,42,1,1,0,1,155.0,36904,1,1,0,0,1,0,0
2,43,1,1,1,1,150.0,34883,1,0,0,0,0,1,0
2,42,1,1,1,1,170.0,40476,1,0,0,0,0,1,0
3,87,1,1,1,1,400.0,45662,1,1,0,0,0,0,1
1,59,1,1,1,1,205.0,34745,1,1,0,0,0,0,1
5,277,1,1,1,1,710.0,25631,1,1,0,0,0,1,0
3,89,0,1,1,1,340.0,37861,1,1,0,0,0,0,1
2,50,1,1,1,1,215.0,43000,1,0,0,0,0,1,0
4,89,1,0,1,1,285.0,32022,1,1,0,0,0,1,0
1,60,1,1,1,0,232.0,38666,1,0,0,0,0,0,0
2,45,1,1,1,1,180.0,40000,1,1,0,0,1,0,0
2,42,1,0,0,1,145.0,34523,1,0,1,0,0,1,0
2,50,1,1,0,1,200.0,40000,1,1,0,0,1,0,0
2,38,1,1,0,1,92.0,24210,1,0,0,0,1,0,0
1,45,1,0,1,1,60.0,13333,1,0,0,0,0,1,0
2,50,1,1,1,1,210.0,42000,1,0,0,0,0,1,0
2,50,1,1,1,1,189.5,37900,1,1,0,0,0,1,0
1,37,1,1,1,1,105.0,28286,1,0,0,0,0,1,0
2,45,1,1,1,1,139.0,30888,1,0,0,0,1,0,0
2,42,1,1,1,1,170.0,40476,1,1,0,0,0,1,0
2,45,1,1,0,1,125.0,27777,0,1,0,0,1,0,0
2,52,1,1,1,1,236.0,45384,1,0,0,0,0,1,0
2,45,1,1,0,0,186.0,41333,1,1,0,0,1,0,0
2,51,1,1,1,1,220.0,43137,0,1,0,0,0,1,0
2,74,1,1,1,1,105.0,14189,1,0,0,0,1,0,0
2,42,1,1,1,1,115.0,27380,1,0,0,0,0,1,0
2,50,1,1,1,1,210.0,42000,1,0,0,0,0,1,0
2,53,1,1,1,1,145.0,27358,1,0,0,0,0,0,1
2,42,1,1,1,1,150.0,35714,1,1,0,0,1,0,0
2,42,1,1,1,1,120.0,28571,1,1,0,0,0,1,0
1,50,1,1,1,1,145.0,29000,1,1,0,0,1,0,0
3,80,1,1,0,1,300.0,37500,1,0,0,0,0,0,1
2,50,1,1,1,1,180.0,36000,1,0,0,0,0,1,0
4,230,0,1,1,1,650.0,28260,1,0,0,0,0,1,0
3,80,1,1,0,1,300.0,37500,1,0,0,0,0,0,1
3,63,1,1,0,1,255.0,40476,0,0,1,0,0,1,0
3,63,1,1,0,1,255.0,40476,0,0,1,0,0,1,0
2,42,1,1,0,1,120.0,28571,1,0,0,0,1,0,0
2,45,1,1,0,1,220.0,48888,1,0,0,0,1,0,0
4,58,1,1,0,0,139.0,23965,1,0,1,0,0,1,0
4,58,1,1,0,0,139.0,23965,1,0,1,0,0,1,0
2,50,1,1,1,1,240.0,48000,1,0,0,0,0,0,1
2,43,1,1,1,1,150.0,34883,1,0,0,0,0,1,0
2,45,1,1,0,1,220.0,48888,1,0,0,0,1,0,0
2,45,1,1,0,1,220.0,48888,1,0,0,0,1,0,0
3,89,1,1,1,1,320.0,35955,1,1,0,0,0,1,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
2,89,1,0,1,1,288.0,32359,1,1,0,0,1,0,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
2,42,1,1,1,1,160.0,38095,1,0,1,0,0,1,0
3,89,1,1,1,1,328.0,36853,1,1,0,0,0,1,0
2,42,1,0,1,1,135.0,32142,1,0,0,0,0,1,0
2,42,1,1,1,1,135.0,32142,1,0,0,0,0,1,0
3,89,0,1,1,1,348.0,38752,1,1,0,0,0,0,1
2,53,1,0,0,1,192.0,35887,1,0,1,0,1,0,0
1,50,1,1,1,1,145.0,29000,1,1,0,0,1,0,0
3,80,1,1,0,1,279.0,34875,0,0,0,1,1,0,0
2,42,1,1,1,1,150.0,35714,1,0,0,0,0,1,0
2,42,1,0,1,1,159.0,37857,1,0,0,0,0,1,0
2,43,1,1,1,1,150.0,34883,1,0,0,0,0,1,0
2,42,1,0,1,1,148.0,35238,1,0,0,0,0,1,0
2,45,1,1,0,1,220.0,48888,1,0,0,0,1,0,0
2,42,1,1,1,1,150.0,35714,1,0,0,0,0,1,0
2,42,1,1,1,1,161.0,38333,1,1,0,0,0,0,1
