Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l,BuyYesrs<3,BuyYesrs_3_5,BuyYesrs_6_10,BuyYesrs>10,ProductHouse
2,42.0,1,1,0,1,170.0,40476.0,1,0,0,0,0,1,0,1,0,0,0,0
3,89.0,1,0,1,1,278.0,31235.0,1,1,0,0,0,0,1,1,0,0,0,1
2,42.0,1,1,1,0,160.0,38095.0,1,0,1,0,0,0,0,1,0,0,0,0
2,42.0,1,1,1,1,89.0,21190.0,1,1,0,0,0,1,0,1,0,0,0,0
4,138.0,1,1,1,0,405.0,29347.0,1,1,0,0,0,0,0,1,0,0,0,1
1,80.0,1,1,1,1,390.0,48750.0,0,0,1,0,1,0,0,1,0,0,0,1
2,42.0,1,1,1,1,155.0,36904.0,1,1,0,0,0,0,1,1,0,0,0,0
2,42.0,1,0,1,1,159.0,37857.0,1,0,0,0,0,1,0,1,0,0,0,0
1,34.0,1,1,0,1,98.0,28340.0,1,1,0,0,0,1,0,1,0,0,0,0
1,51.0,1,1,1,1,146.0,28627.0,1,1,0,0,0,1,0,1,0,0,0,1
2,50.0,1,1,1,1,265.0,53000.0,1,0,0,0,0,1,0,1,0,0,0,0
1,32.0,1,1,0,1,68.0,21250.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,135.0,32142.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,135.0,32142.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,0,1,95.0,22619.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,89.0,21190.0,1,1,0,0,0,1,0,1,0,0,0,0
3,87.0,0,1,1,1,400.0,45610.0,1,1,0,0,0,0,1,1,0,0,0,1
2,50.0,1,1,1,1,210.0,42000.0,1,0,0,0,0,1,0,1,0,0,0,0
3,89.0,0,0,1,1,310.0,34831.0,1,0,0,0,1,0,0,1,0,0,0,1
2,42.0,1,0,1,1,155.0,36904.0,1,0,0,0,0,1,0,1,0,0,0,0
2,50.0,1,1,1,1,210.0,42000.0,1,0,0,0,0,1,0,1,0,0,0,0
2,51.0,1,1,1,1,150.0,29411.0,1,0,0,0,1,0,0,1,0,0,0,1
2,42.0,1,0,0,1,166.0,39150.0,1,0,1,0,0,0,1,1,0,0,0,0
2,50.0,1,1,1,1,180.0,36000.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,0,1,160.0,38095.0,1,0,0,0,1,0,0,1,0,0,0,0
3,55.0,1,0,1,1,206.0,37454.0,1,1,0,0,0,1,0,1,0,0,0,1
2,50.0,1,1,1,1,195.0,39000.0,1,0,0,0,0,1,0,1,0,0,0,0
1,42.0,1,1,1,1,130.0,30952.0,0,0,1,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,155.0,36904.0,1,1,0,0,0,0,1,1,0,0,0,0
2,42.0,1,0,1,1,172.0,40952.0,1,0,0,0,1,0,0,1,0,0,0,0
2,42.0,1,0,1,1,135.0,32142.0,1,1,0,0,0,1,0,1,0,0,0,0
2,57.0,1,1,1,1,250.0,43859.0,1,0,0,0,0,1,0,1,0,0,0,1
2,45.0,1,1,0,1,183.0,40666.0,1,1,0,0,1,0,0,1,0,0,0,0
2,45.0,1,1,1,1,168.0,37333.0,1,1,0,0,0,1,0,1,0,0,0,0
2,45.0,1,1,1,1,180.0,39215.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,160.0,38095.0,1,1,0,0,0,0,1,1,0,0,0,0
2,52.0,1,1,1,1,236.0,45384.0,1,0,0,0,0,1,0,1,0,0,0,1
1,42.0,1,1,1,1,155.0,36904.0,1,1,0,0,1,0,0,1,0,0,0,0
4,135.0,0,0,1,1,480.0,35555.0,1,1,0,0,1,0,0,1,0,0,0,1
3,48.0,1,1,1,1,180.0,37500.0,1,1,0,0,0,1,0,1,0,0,0,0
2,39.0,1,1,1,1,110.0,28205.0,1,0,0,0,0,1,0,1,0,0,0,0
3,79.0,1,1,1,1,228.0,28643.0,0,0,0,1,0,0,1,1,0,0,0,1
2,42.0,1,0,0,1,160.0,38095.0,1,1,0,0,0,1,0,1,0,0,0,0
2,89.0,1,1,0,1,330.0,37078.0,1,1,0,0,1,0,0,1,0,0,0,1
1,45.0,1,1,0,0,98.0,21777.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,133.0,31666.0,1,0,0,0,0,0,1,1,0,0,0,0
2,42.0,1,1,1,1,153.0,36523.0,1,0,0,0,0,1,0,1,0,0,0,0
2,50.0,1,1,1,1,180.0,36000.0,1,0,0,0,1,0,0,1,0,0,0,0
2,73.0,1,1,1,1,311.0,42602.0,1,1,0,0,0,1,0,1,0,0,0,1
3,89.0,0,0,1,1,280.0,31460.0,1,1,0,0,0,1,0,1,0,0,0,1
2,42.0,1,1,1,1,160.0,38095.0,1,1,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,0,1,170.0,40476.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,156.0,37142.0,1,0,1,0,1,0,0,1,0,0,0,0
2,38.0,1,1,0,1,89.0,23421.0,1,0,0,0,1,0,0,1,0,0,0,0
1,47.0,1,1,1,1,165.0,35106.0,0,0,1,0,1,0,0,1,0,0,0,0
1,63.0,1,1,1,1,190.0,30158.0,1,0,0,0,0,1,0,1,0,0,0,1
2,42.0,1,1,1,0,160.0,38095.0,1,0,1,0,0,0,0,1,0,0,0,0
